Time,Temperature,Pressure,Sound,Light,Pressure,Humidity,Comment
s,°C,kPa,dBA,lx,kPa,%RH,

462.72,35.3,102.6,40.0,79,97.16,57.3,
463.68,35.3,102.6,40.0,78,97.16,57.3,
464.64,35.3,102.6,40.0,76,97.18,57.3,
465.6,35.3,102.6,66.0,76,97.18,57.3,
466.56,35.3,102.6,40.0,76,97.16,57.3,
467.52,35.3,102.6,41.8,76,97.18,57.3,
468.48,35.3,102.6,74.8,77,97.15,57.3,
469.44,35.3,102.6,78.5,77,97.12,57.3,
470.4,35.3,102.6,43.1,76,97.16,57.3,
471.36,35.3,102.6,57.2,76,97.16,57.3,
472.32,35.3,102.6,40.0,77,97.16,57.3,
473.28,35.3,102.6,40.0,78,97.13,57.3,
474.24,35.3,102.6,60.8,78,97.16,57.3,
475.2,35.3,102.6,40.0,78,97.15,57.3,
476.16,35.3,102.6,72.4,78,97.16,57.3,
477.12,35.4,102.8,66.7,82,97.12,57.3,
478.08,35.3,102.6,53.1,77,97.14,57.3,
479.04,35.4,102.8,45.1,74,97.14,57.3,
480,35.3,102.6,50.0,74,97.17,57.3,
480.96,35.4,102.8,54.4,75,97.17,57.3,
481.92,35.4,102.8,40.0,74,97.15,57.3,
482.88,35.4,102.8,40.0,74,97.14,57.3,
483.84,35.4,102.8,50.3,74,97.15,57.3,
484.8,35.4,102.8,49.5,75,97.18,57.3,
